sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
0,2,10,0,1,10,k,82.851799,74.236890,0.129017,0.062989,0.829527,4.284035,0.499439,0.684496,2.125407
1,2,10,1,1,10,k,87.492026,87.421757,0.070269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2,10,2,1,10,k,21.766313,21.001816,0.764497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,10,3,1,10,k,48.520999,0.009225,0.785506,0.000000,24.847529,0.000000,0.000000,22.878739,0.000000
4,2,10,4,1,10,k,162.242908,0.000000,0.077042,0.000000,150.600096,0.000000,0.000000,11.565770,0.000000
5,2,10,5,1,10,k,93.225761,0.000000,0.000000,0.000000,14.286078,0.000000,0.000000,78.939683,0.000000
6,2,10,6,1,10,k,166.867098,0.000000,0.000000,0.000000,125.196817,0.000000,0.000000,41.670280,0.000000
7,2,10,7,1,10,k,332.268038,0.000000,0.000000,0.000000,325.803236,0.000000,0.221640,5.171889,1.071274
8,2,10,8,1,10,k,213.088684,0.000000,0.000000,0.000000,207.080551,0.000000,0.072480,1.797434,4.138219
9,2,10,9,1,10,k,194.840833,0.000000,0.000000,0.000000,0.000000,168.913251,0.000000,0.000000,25.927582
10,2,10,10,1,10,k,433.932692,0.000000,0.000000,0.042417,0.000000,428.947739,0.000000,0.000000,4.942535
11,2,10,11,1,10,k,242.225879,0.000000,0.000000,0.066098,0.000000,228.406944,0.000000,0.000000,13.752837
12,2,10,12,1,10,k,79.519232,0.000000,0.000000,0.743660,0.000000,78.775572,0.000000,0.000000,0.000000
13,2,10,13,1,10,k,61.291116,0.000000,0.000000,0.283586,0.000000,11.256264,0.000000,0.000000,49.751266
